Timestamp: 2023-06-19T11:10:27+08:00
Carpark Number,Total Lots,Lots Available,Address
BM29,97,0,BLK 163 BUKIT MERAH CENTRAL
Q81,96,0,BLK 43 HOLLAND DRIVE
C20,167,0,BLK 449-451 CLEMENTI AVENUE 3
HG44,155,0,BLK 681-684 HOUGANG AVENUE 4/8
CY,28,0,BLK 269/269A/269B CHENG YAN COURT CAR PARK
CR29,56,0,BLK 29/30 KELANTAN LANE
J56,15,0,BLK 130 JURONG GATEWAY ROAD
J57L,13,0,BLK 131 JURONG GATEWAY ROAD
KB14,58,0,BLK 66/71 KALLANG BAHRU
U6,95,0,BLK 150/158 BUKIT BATOK STREET 11
T42,86,0,BLK 824/827 TAMPINES STREET 81
BH1,57,0,BLK 1 THOMSON ROAD
BH2,47,0,BLK 2 BALESTIER ROAD
SK44,10,0,BLK 308 ANCHORVALE ROAD
SK40,10,0,BLK 306 ANCHORVALE LINK
U27,20,0,BLK 371-373 BUKIT BATOK STREET 31
TE3,19,0,BLK 108/110/112 JALAN BUKIT MERAH
TE4,30,0,BLK 132-138 JALAN BUKIT MERAH
U28,15,0,BLK 374-376 BUKIT BATOK STREET 31
B7,86,0,BLK 211/218 BEDOK NORTH STREET 1
B7A,129,0,BLK 216/218 BEDOK NORTH STREET 1
SE11,198,0,BLK 151/154 SERANGOON NORTH AVENUE 1/2
SE22,20,0,BLK 261/263 SERANGOON CENTRAL
SK50,89,0,BLK 323 SENGKANG EAST WAY
TP31,50,0,BLK 109/111 TO 115 LORONG 1 TOA PAYOH
A30,12,0,BLK 129/134 ANG MO KIO STREET 12
NT6L,6,0,BLK 647 TAMPINES STREET 62
A20,83,0,BLK 304/307/319 ANG MO KIO STREET 31
SK51,10,0,BLK 325 SENGKANG EAST WAY
HE3,148,0,BLK 116/117 BUKIT MERAH VIEW
TB2,51,0,BLK 8-10 TELOK BLANGAH CRESCENT
JKM,360,0,BLK 8A JALAN KUKOH MSCP
AR9,64,0,BLK 20/22/23 DOVER CRESCENT
J38,27,0,BLK 505/508 JURONG WEST STREET 52
NT7L,4,0,BLK 646 TAMPINES STREET 62
U41,30,0,BLK 632/644 BUKIT BATOK CENTRAL
C27,16,0,BLK 108/109 CLEMENTI STREET 11
TBC3,106,0,BLK 3A TELOK BLANGAH CRESCENT
C26,35,0,BLK 105-107 CLEMENTI STREET 12
J62,700,0,BLK 902/908 JURONG WEST STREET 91
Y57,18,0,BLK 415/417 YISHUN RING ROAD/AVENUE 11
S24L,2,0,BLK 507A WELLINGTON CIRCLE
SD2,29,0,BLK 45/50/51 SIMS DRIVE
SD3,102,0,BLK 46/47/48/49 SIMS PLACE
W28,27,0,BLK 304/305 WOODLANDS STREET 31
P5L,4,0,BLK 106A PUNGGOL FIELD
BE38,31,0,BLK 283/284 BISHAN STREET 22
SM1,89,0,BLK 22 SIN MING ROAD
K2,95,0,"BLK 9,10,12 PINE CLOSE"
JB2,55,0,BLK 10-11 JALAN BATU
BM6,30,0,BLK 61 LENGKOK BAHRU
RHS,12,0,BLK 75A/B REDHILL ROAD
P40L,6,0,BLK 740 TO 745 PASIR RIS STREET 71
W26,20,0,BLK 301/302 WOODLANDS STREET 31
W27,4,0,BLK 303 WOODLANDS STREET 31
TP30,31,0,BLK 116/122 LORONG 1 TOA PAYOH
Q19,20,0,BLK 151 MEI LING STREET
STM3,100,0,BLK 168-171 STIRLING ROAD
TB28,18,0,BLK 45 TELOK BLANGAH DRIVE
S30L,24,0,SENGKANG EAST WAY
EPL,18,0,BLK 1/7 EVERTON PARK
A52,150,0,BLK 701/716 ANG MO KIO AVENUE 3/6
A54,767,0,BLK 727/728 ANG MO KIO AVENUE 6
SM9,28,0,BLK 24A SIN MING ROAD
SK41,113,0,BLK 305 ANCHORVALE LINK
BR10,59,0,BLK 90 WHAMPOA DRIVE
EC3,44,0,BLK 5-8/11/4A EUNOS CRESCENT
BJ15,37,0,BLK 259A BANGKIT ROAD
BJ23,16,0,BLK 258 BUKIT PANJANG RING ROAD
Q80,31,0,BLK 45/46/47 HOLLAND DRIVE
BL15,20,0,BLK 257A BOON LAY DRIVE
PL47,214,0,BLK 207 PUNGGOL PLACE
J25,30,0,BLK 347/350 JURONG EAST AVENUE 1
AR2L,4,0,BLK 26 AND 27 DOVER CRESCENT
BKE1,5,0,BLK 668 CHANDER ROAD
BKE9,38,0,BLK 668 CHANDER ROAD
CR1,124,0,BLK 1/3/15/17 BEACH ROAD
JCML,2,0,BLK 2 JOO CHIAT ROAD
MP14,60,0,BLK 81/82 MARINE PARADE ROAD
MP15,23,0,BLK 83/87 MARINE PARADE ROAD
MP16,22,0,BLK 84 TO 86 MARINE PARADE ROAD
